dwa | 05.07.2021 21:36:02 | 28,9791723sec | 8 | Banjul
gurz | 05.07.2021 21:36:41 | 10,9254937sec | 6 | Tbilisi
moscasc | 05.07.2021 21:37:06 | 3,7455382sec | 5 | Moscow
Moron | 05.07.2021 21:40:50 | 12,55sec | 8 | Moroni
wariacik | 05.07.2021 21:51:48 | 59,13 | 9 | Kingstown
kaje | 05.07.2021 22:09:40 | 65,78 | 5 | Kyiv
izabelaaaaa | 05.07.2021 22:26:37 | 90,26 | 4 | Yaounde
cairo | 05.07.2021 22:48:46 | 9,55 | 6 | Cairo
